LSTM
[Epoch, Train accuracy, Train loss, Validation accuracy, Validation loss]
[0, 0.5233908333333334, 1.0777978636943053, 0.58679, 0.9500497691408794]
[1, 0.6081504166666667, 0.9031744921753555, 0.60838, 0.9021204382705689]
[2, 0.6297070833333334, 0.8576662131771694, 0.6127383333333334, 0.8946176122792562]
[3, 0.6479375, 0.8219297299153357, 0.6108733333333334, 0.9040241118176778]
[4, 0.6674270833333333, 0.7849151733021935, 0.6071916666666667, 0.9257667668215434]
[5, 0.6882095833333334, 0.7449404586391648, 0.599425, 0.9547647198931376]
[6, 0.7080933333333334, 0.7036433439627786, 0.594865, 0.9917090605926514]
[7, 0.7261783333333334, 0.6639959014888108, 0.5874033333333334, 1.0679964981714885]
[8, 0.7418620833333334, 0.6280252108944953, 0.5809216666666667, 1.1317370504252116]
[9, 0.7543795833333333, 0.5977579552335789, 0.580485, 1.1695357700475058]
[10, 0.76460375, 0.572842667754069, 0.5772366666666666, 1.214626974360148]
[11, 0.7732754166666667, 0.5517463766772797, 0.5724066666666666, 1.2815438151168823]
[12, 0.78038125, 0.5335428715792795, 0.57152, 1.3215525300216675]
[13, 0.7861179166666666, 0.5194357297186801, 0.569575, 1.3681147762171428]
[14, 0.7918233333333333, 0.5060278383691609, 0.5673433333333333, 1.4121112408192953]
[15, 0.7963658333333333, 0.49555835080839694, 0.567085, 1.437229066136678]
[16, 0.8002825, 0.4856719354732707, 0.5629716666666666, 1.4529701094563803]
[17, 0.80403625, 0.47634154746008417, 0.5646866666666667, 1.5051512781397502]
[18, 0.8067445833333333, 0.46954586562710504, 0.56259, 1.5256171895345052]
[19, 0.8103554166666667, 0.46146868415666126, 0.5614, 1.5612074756622314]
[20, 0.8121991666666667, 0.45654497219078244, 0.560985, 1.5924348978551228]
[21, 0.8148008333333333, 0.4498693829576547, 0.5585116666666666, 1.5883266516367593]
[22, 0.8170816666666667, 0.4443446845416725, 0.5576833333333333, 1.6130674745814007]
[23, 0.8197441666666667, 0.43845546939287333, 0.5571633333333333, 1.6468586651102701]
[24, 0.82161375, 0.4339153069359809, 0.55817, 1.6527422588348388]
[25, 0.8233966666666667, 0.43005180672258136, 0.5558933333333334, 1.716646583442688]
[26, 0.8251370833333334, 0.42572027793136735, 0.5554866666666667, 1.7264089303080241]
[27, 0.8266825, 0.42164945190864306, 0.55481, 1.695661772588094]
[28, 0.8276141666666667, 0.4191470815678313, 0.5557016666666666, 1.7222924664815267]
[29, 0.8297066666666667, 0.4150056531106805, 0.5525433333333334, 1.7682191826375326]
[30, 0.83081125, 0.4123031252152597, 0.552105, 1.7287307242075602]
[31, 0.83172625, 0.40971544324874876, 0.55365, 1.7650038365427654]
[32, 0.8337545833333333, 0.4058339217787112, 0.552175, 1.7625215747451781]
[33, 0.834645, 0.40347132080014797, 0.5516483333333333, 1.7989834700775147]
[34, 0.8357016666666667, 0.4007347816932698, 0.5524, 1.816432089246114]
[35, 0.8362670833333333, 0.39907620546899736, 0.550585, 1.834859281730652]
[36, 0.8377108333333333, 0.39613053500620027, 0.5497066666666667, 1.8353533012771606]
[37, 0.838275, 0.3942664606134842, 0.5498083333333333, 1.8195375069936117]
[38, 0.8399816666666666, 0.3907403533376257, 0.5491183333333334, 1.8573201363881429]
[39, 0.8407816666666666, 0.38852529507355144, 0.5479866666666666, 1.8538922615941364]
[40, 0.8416270833333334, 0.3866900670290366, 0.54968, 1.9262236858749389]
[41, 0.8417908333333334, 0.38657724512809266, 0.5487166666666666, 1.8970055064137776]
[42, 0.8429358333333333, 0.3833691617382939, 0.5485266666666667, 1.8695744354120891]
[43, 0.8432470833333333, 0.38240778229409206, 0.5481683333333334, 1.9020145851516723]
[44, 0.844915, 0.3785379236321027, 0.5475516666666667, 1.9175014631017049]
[45, 0.8454458333333333, 0.37732866959646344, 0.5479283333333334, 1.9261681932449342]
[46, 0.84588375, 0.37640274550346037, 0.5462983333333333, 1.9110188188934327]
[47, 0.8464025, 0.3752786371666193, 0.546485, 1.9952625205230712]
[48, 0.8470304166666667, 0.3736318619622166, 0.5468516666666666, 1.933557201423645]
[49, 0.8480529166666667, 0.3720258794320996, 0.54774, 1.919999094365438]
RNN
[Epoch, Train accuracy, Train loss, Validation accuracy, Validation loss]
